Request Name,Description,Rationale,Owner,Priority,Date Updated,Status,Acceptance Criteria,Notes
"REQ-1,Mobiilisovellus kuittien kuvaamiseen,Mahdollistaa käyttäjien helpon kuittien lähettämisen.,Tiimi,Kriittinen,27.10.2024,Luonnos,""Sovellus toimii iOS- ja Android-laitteilla (vähintään iOS 15 ja Android 10)."",Alkuperäinen luonnos."
"REQ-2,Automaattinen tietojen poimiminen kuiteista,Vähentää manuaalista tietojen syöttöä ja virheitä.,Tiimi,Kriittinen,27.10.2024,Luonnos,""Järjestelmä poimii tarkasti päivämäärän, summan, myyjän ja ALV:n eri kuittiformaateista vähintään 95 %:n tarkkuudella."",Vaatii testauksen erilaisilla kuittinäytteillä."
"REQ-3,Tietojen siirto kulukorvaus-/matkalaskuihin,Sujuvoittaa kulukorvausprosessia.,Tiimi,Korkea,27.10.2024,Luonnos,""Järjestelmä integroituu olemassa oleviin kulunhallintajärjestelmiin (jos sovellettavissa) tai mahdollistaa tietojen viennin CSV/XLSX-muodossa."",Integraation yksityiskohdat vahvistetaan asiakkaan kanssa."
"REQ-4,Offline-tuki kuittien kuvaamiselle,Mahdollistaa kuittien kuvaamisen myös ilman verkkoyhteyttä.,Tiimi,Keskitaso,27.10.2024,Luonnos,""Sovellus tallentaa kuvatut kuitit paikallisesti ja lataa ne, kun verkkoyhteys on saatavilla."",Paikallisen tallennustilan kapasiteetti määritetään."
"REQ-5,Hallintaliittymä käyttötilastoille,Tarjoaa näkemyksiä sovelluksen käytöstä ja mahdollisista ongelmista.,Tiimi,Korkea,27.10.2024,Luonnos,""Hallintaliittymä näyttää keskeiset mittarit, kuten aktiivisten käyttäjien määrän, keskimääräisen kuittien määrän käyttäjää kohti ja virhemäärät."",Raportointitiheys määritetään."
"REQ-6,Turvallinen tietojen tallennus ja siirto,Suojaa arkaluonteiset käyttäjä- ja kuittitiedot.,Tiimi,Kriittinen,27.10.2024,Luonnos,""Tiedot salataan sekä siirron aikana että levossa. Järjestelmä noudattaa asiaankuuluvia tietosuojamääräyksiä (esim. GDPR)."",Tietoturvatarkastus vaaditaan."
"REQ-7,Tekoälypohjainen kuvananalyysi kuittien tunnistamiseen,Mahdollistaa tarkan ja automaattisen tiedonpoiminnan.,Tiimi,Kriittinen,27.10.2024,Luonnos,""Tekoälymalli on koulutettu monipuolisella kuittitietojoukolla ja saavuttaa korkean tarkkuuden tiedonpoiminnassa."",Suorituskyvyn vertailuarvot on määritettävä."
"REQ-8,Yhteensopivuus iOS:n ja Androidin kanssa,Varmistaa laajan käyttäjäsaavutettavuuden.,Tiimi,Kriittinen,27.10.2024,Luonnos,""Sovellus on testattu ja toimii oikein määritetyissä iOS- ja Android-käyttöjärjestelmien versioissa."",Tietyt käyttöjärjestelmäversiot on dokumentoitava."
"REQ-9,Käyttäjäystävällinen käyttöliittymä,Parantaa käyttöönottoa ja tyytyväisyyttä.,Tiimi,Korkea,27.10.2024,Luonnos,""Käyttöliittymä on intuitiivinen ja helppo navigoida. Käytettävyystestaus suoritetaan."",Käyttäjäpalaute kerätään."
"REQ-10,Taustajärjestelmän skaalautuvuus,Varmistaa, että järjestelmä pystyy käsittelemään kasvavaa käyttäjäkuormaa.,Tiimi,Korkea,27.10.2024,Luonnos,""Taustajärjestelmän infrastruktuuri pystyy skaalautumaan horisontaalisesti kasvavien tietomäärien ja käyttäjäliikenteen mukaisesti."",Kuormitustestaus suoritetaan."
"REQ-11,MariaDB tietokannan käyttö,Tehokas ja avoimen lähdekoodin relaatiotietokanta.,Tiimi,Korkea,27.10.2024,Luonnos,""Taustajärjestelmä käyttää MariaDB-tietokantaa tietojen tallentamiseen ja hallintaan."",Tietokannan versio määritetään."
"REQ-12,RESTful API -rajapinnat,Standardoitu ja tehokas tapa kommunikoida mobiilisovelluksen ja taustajärjestelmän välillä.,Tiimi,Korkea,27.10.2024,Luonnos,""Mobiilisovellus kommunikoi taustajärjestelmän kanssa RESTful API -rajapintojen kautta käyttäen JSON-muotoa."",API-dokumentaatio luodaan."
"REQ-13,Pilvipalvelinympäristö,Mahdollistaa skaalautuvuuden, luotettavuuden ja kustannustehokkuuden.,Tiimi,Korkea,27.10.2024,Luonnos,""Taustajärjestelmä on toteutettu pilvipalvelussa (esim. AWS, Google Cloud tai Azure)."",Pilvipalvelun tarkka valinta ja konfiguraatio dokumentoidaan."
"REQ-14,Käyttöoikeuksien hallinta hallintaliittymässä,Mahdollistaa eri käyttäjäroolien ja oikeuksien määrittämisen.,Tiimi,Keskitaso,27.10.2024,Luonnos,""Hallintaliittymässä voidaan luoda eri käyttäjärooleja (esim. ylläpitäjä, käyttäjä) ja määrittää niille erilaisia oikeuksia."",Käyttöoikeusmallin suunnittelu."
"REQ-15,Tilastotietojen raportointi hallintaliittymässä,Tarjoaa tietoa sovelluksen käytöstä ja auttaa tunnistamaan kehityskohteita.,Tiimi,Korkea,27.10.2024,Luonnos,""Hallintaliittymä tuottaa raportteja määritetyistä tilastotiedoista (esim. kuukausittaiset raportit)."",Raporttien muoto ja sisältö määritetään."
